Type materiel 2;Type materiel 3;Type materiel 4;Type matériel;idtypemateriel;idsoustypemateriel;commentaire sur materiel;Millésime;codetype;Coderef;prix neuf € unité;prix moyen achat;unité;unité / an;charges fixes annuelle unité;charges fixes €/an;charges fixes €/unité de volume de travail annuel unité;charges fixes €/unité de volume de travail annuel;Réparations unité;Réparations €/unité de travail annuel;coût total unité;coût total € / unité de travail annuel;performance unité;performance;performance coût total unité;performance coût total €;données puissance 1 adéquate unité;données puissance 1 adéquate;données taux de charge moteur;donnees amortissement 1;donnees amortissement 2;donnees transport 1 unite;donnees transport 1;donnees transport 2 unite;donnees transport 2;donnees transport 3 unite;donnees transport 3;code matériel GES'TIM;masse (kg);durée de vie théorique -obsolescence constructeur- (années);Energie unité;Coût Energie / unité de travail;Energie coût total unité;Energie coût total  € / unité de travail annuel;coût total AVEC carburant € / unité de travail annuel;coût total unité sans carburant;coût total SANS carburant € / unité de travail annuel;carburant cout unité;carburant €/unité de travail;lubrifiant cout unité;lubrifiant €/unité de travail;pneus cout unité;pneus €/unité de travail;puissance ch ISO unité;puissance ch ISO;volume carter huile BV unité;volume carter huile BV;volume carter huile moteur unité;volume carter huile moteur;pneus AV taille;pneus AV prix €;pneus AV prix €;pneus AV durée vie unité;pneus AV durée vie;pneus AR taille;pneus AR prix unité;pneus AR prix;pneus AR durée vie unité;pneus AR durée vie;performance coût total AVEC CARBURANT €/h;performance coût total SANS CARBURANT €/h
Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable;2 RM - 76 à 85 ch;80 ch - Vigne & Verger;TRACTEURS SPECIALISES 2RM/Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable/2 RM - 76 à 85 ch /80 ch - Vigne & Verger;TRACTEURS SPECIALISES 2RM;80 ch - Vigne & Verger;Tracteurs Spécialisés Vigne & Verger 2 RM avec Arceau rabattable;2015.0;121;12108;€;30800.0;heure;500;€/an;2430.02651516;€/h;4.86005303033;€/h;1.06;€/h;;;;;;;;0.35;14.0;0.09;;;;;;;GES1;2400.0;19.0;;;;;9.99579261366;€/h;6.56379261366;€/h;3.432;€/h;0.23440625;€/h;0.409333333333;ch ISO;80.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Tracteurs Spécialisés Arboricole 4 RM avec cabine confort;96 à 105 ch;100 ch - Arbo.;TRACTEURS SPECIALISES 4RM ARBO/Tracteurs Spécialisés Arboricole 4 RM avec cabine confort/96 à 105 ch /100 ch - Arbo.;TRACTEURS SPECIALISES 4RM ARBO;100 ch Arbo;Tracteurs Spécialisés Arboricole 4 RM avec cabine confort;2015.0;142;14210;€;44100.0;heure;300;€/an;2878.39796195;€/h;9.59465987317;€/h;1.44;€/h;;;;;;;;0.35;15.0;0.07;;;;;;;GES1;3000.0;19.0;;;;;16.6833994565;€/h;11.6783994565;€/h;5.005;€/h;0.23440625;€/h;0.409333333333;ch ISO;100.0;L;40.0;L;9.0;650 16;120.0;120.0;;2500.0;14,9 R 28;;470.0;;3000.0;;
Catégorie C = Catégorie B + relevage porte masses de série;180 à 200 ch;190 ch;TRACTEURS CLASSIQUES/Catégorie C = Catégorie B + relevage porte masses de série /180 à 200 ch/190 ch;TRACTEURS CLASSIQUES;190 ch BVSP + Rel AV;Catégorie C = Catégorie B + relevage porte masses de série;2015.0;11;1121922121;€;91900.0;heure;700;€/an;8864.56356081;€/h;12.6636622297;€/h;3.27;€/h;;;;;;;;0.5;10.0;0.11;;;;;;;GES1;7490.0;19.0;;;;;32.8897559797;€/h;19.3047559797;€/h;13.585;€/h;0.59109375;€/h;2.78;ch ISO;190.0;L;100.0;L;23.0;540 65 28;1600.0;1600.0;;2500.0;650.65 38;;3000.0;;4000.0;;
Mélangeuse Automotrice;14 m3 - 160 ch;fraise de chargement;DISTRIB FOURRAGE AUTOMOTRICE/Mélangeuse Automotrice /14 m3 - 160 ch  /fraise de chargement;DISTRIB FOURRAGE AUTOMOTRICE;Mélangeuse Automotrice 14 m3 - 160 ch;Mélangeuse Automotrice 14 m3 - 160 ch  fraise de chargement;2015.0;904;90401416;€;150900.0;h;400;€/an;20674.8176229;€/h;51.6870440571;€/h;10.67;€/h;;;;;;;;0.5;7.0;0.2;;;;;;;GES2;12000.0;13.0;;;;;74.0001690571;€/h;62.5601690571;€/h;11.44;€/h;0.203125;;;ch ISO;160.0;;;L;20.0;;;;;;;;;;;;
Mélangeuse Automotrice;14 m3 - 160 ch;fraise de chargement;DISTRIB FOURRAGE AUTOMOTRICE/Mélangeuse Automotrice /14 m3 - 160 ch  /fraise de chargement;DISTRIB FOURRAGE AUTOMOTRICE;Mélangeuse Automotrice 14 m3 - 160 ch;Mélangeuse Automotrice 14 m3 - 160 ch  fraise de chargement;2015.0;904;90401416;€;150900.0;h;600;€/an;20674.8176229;€/h;34.4580293714;€/h;10.67;€/h;;;;;;;;0.5;7.0;0.2;;;;;;;GES2;12000.0;13.0;;;;;56.7711543714;€/h;45.3311543714;€/h;11.44;€/h;0.203125;;;ch ISO;160.0;;;L;20.0;;;;;;;;;;;;
Porteur Automoteur;120 ch;;Porteur Viti Automoteur/Porteur Automoteur /120 ch /;Porteur Viti Automoteur;Porteur Automoteur 120 ch 0;0.0;2015.0;167;16712;€;80000.0;h;500;€/an;7556.70386142;€/h;15.1134077228;€/h;3.0;;;;;;;;;;10.0;0.11;;;;;;;GES1;4500.0;18.0;;;;;24.1194077228;€/h;18.2352827228;€/h;6.006;€/h;0.121875;;;ch ISO;120.0;;;L;15.0;;;;;;;;;;;;
Intercep Hydraulique VL;avec cadre;et centrale hydraulique;Interceps/Intercep Hydraulique VL /avec cadre /et centrale hydraulique;Interceps;Intercep Hydraulique VL avec cadre et centrale hydraulique;0.0;2015.0;225;2.25810014036e+12;€;10500.0;ha;40;€/an;1036.32885468;€/ha;25.9082213671;€/ha;4.6;€/ha;30.5082213671;ha/h;0.8;€/h;24.4065770937;ch;80.0;0.4;10.0;0.15;;;;;;;GES3;250.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Passerelle diesel 30 ch;2 RM hauteur de 1,1 à 2,1 m;de 4 à 6 postes;PASSERELLE LEGUMES/Passerelle diesel 30 ch /2 RM hauteur de 1,1 à 2,1 m /de 4 à 6 postes;PASSERELLE LEGUMES;Passerelle diesel 30 ch 2 RM hauteur de 1,1 à 2,1 m de 4 à 6 postes;0.0;2015.0;980;9.80330302106e+11;€;19410.0;he;400;€/an;2392.03311941;€/h;5.98008279853;€/h;3.1;;;;;;;;;;;;;;;;;;;;;;;;;12.0830827985;€/h;9.13086404853;€/h;3.003;€/h;0.05078125;;;ch ISO;30.0;;;L;5.0;;;;;;;;;;;;
Chambre fixe;balle  120 x 120;;PRESSES/Chambre fixe  /balle  120 x 120 /;PRESSES;Chambre Fixe 120 x 120;Chambre fixe  balle  120 x 120;2015.0;704;704310;€;17100.0;bal;1000;€/an;1687.73556334;€/bal;1.68773556334;€/ha;0.39;€/ha;2.07773556334;bal/h;25.0;€/h;51.9433890835;ch;90.0;0.8;10.0;0.15;;;;;;;GES3;2800.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Prétailleuse 1rgs  pour vigne à gobelet 0;;;Prétailleuse/Prétailleuse 1rgs  pour vigne à gobelet 0//;Prétailleuse;Prétailleuse 1rgs  pour vigne à gobelet;0.0;2015.0;540;5401001;€;4750.0;ha;60;€/an;507.0;€/ha;8.45;€/ha;25.0;€/ha;33.45;ha/h;0.0;€/h;0.0;ch;70.0;0.4;10.0;0.15;;;;;;;GES3;180.0;18.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
